row,point,weight,temp_1,temp_2,40_sec,2_hour,AD,OD,MCF,dry_soil,corrected_40_sec,correcting_hydrometer _2hr,clay_percent,silt_clay_percent,silt_percent,sand_percent
1,10,40.036,21,21,41,31,10.009,9.297,0.928864022,9.297,41.36,31.36,78.32950345,103.3070237,24.97752023,-3.307023679
1,50,40.052,21,20,36,31,10.015,9.541,0.952670994,9.541,36.36,31,77.3993808,90.78198342,13.38260262,9.218016578
1,90,40,21,20.5,34,26,10.028,9.428,0.940167531,9.428,34.36,26.18,65.45,85.9,20.45,14.1
3,10,40.035,21,20,32,NA,10.006,9.827,0.982110734,9.827,32.36,NA,NA,80.82927438,NA,19.17072562
3,50,40.049,21,20,37,30,10.003,9.796,0.979306208,9.796,37.36,30,74.90823741,93.28572499,18.37748758,6.714275013
3,90,40.03,22,21,35,24,10.002,9.64,0.963807239,9.64,35.72,24.36,60.85435923,89.23307519,28.37871596,10.76692481
5,10,40.044,22,20.5,32,26,10.014,9.784,0.977032155,9.784,32.72,26.18,65.37808411,81.71011887,16.33203476,18.28988113
5,50,40.015,22,21,31,25,10.009,9.264,0.92556699,9.264,31.72,25.36,63.37623391,79.27027365,15.89403974,20.72972635
5,90,40.026,22,21,33,26,10.007,9.636,0.962925952,9.636,33.72,26.36,65.85719282,84.24524059,18.38804777,15.75475941
7,10,40.017,21,20.5,32,25,10.018,9.614,0.959672589,9.614,32.36,25.18,62.92325762,80.86563211,17.94237449,19.13436789
7,50,40.086,21,20,36,30,10.037,9.886,0.984955664,9.886,36.36,30,74.83909594,90.70498428,15.86588834,9.295015716
7,90,40.012,22,21,29,23,10.002,9.786,0.978404319,9.786,29.72,23.36,58.38248525,74.27771668,15.89523143,25.72228332
9,10,40.013,20,19,37,30,10.012,9.808,0.979624451,9.808,37,29.64,74.07592532,92.46994727,18.39402194,7.530052733
9,50,40.032,20,20,40,31,10.008,9.701,0.96932454,9.701,40,31,77.43804956,99.92006395,22.48201439,0.079936051
9,90,40.023,20,20,35,27,10.02,9.594,0.95748503,9.594,35,27,67.4612098,87.44971641,19.98850661,12.55028359
11,10,40.024,22,20.5,35,27,10.031,9.436,0.94068388,9.436,35.72,27.18,67.90925445,89.24645213,21.33719768,10.75354787
11,50,40.037,22,21,29,28,10.042,9.468,0.942840072,9.468,29.72,28.36,70.83447811,74.23133601,3.396857906,25.76866399
11,90,40.014,22,21,37,27,10.021,9.505,0.948508133,9.505,37.72,27.36,68.37606838,94.26700655,25.89093817,5.732993452
13,10,40.001,21.5,20,37,30,10.006,9.82,0.981411153,9.82,37.54,30,74.99812505,93.84765381,18.84952876,6.152346191
13,50,40.04,22,21,33,26,10.018,9.708,0.9690557,9.708,33.72,26.36,65.83416583,84.21578422,18.38161838,15.78421578
13,90,40.042,22,20,34,27,10.009,9.741,0.973224098,9.741,34.72,27,67.42919934,86.7089556,19.27975626,13.2910444
15,10,40.047,21,20,38,30,10.037,9.78,0.97439474,9.78,38.36,30,74.91197843,95.78744975,20.87547132,4.212550253
15,10,40.039,21,20.5,41,30,10.034,9.57,0.953757225,9.57,41.36,30.18,75.3765079,103.2992832,27.92277529,-3.299283199
15,50,40.046,20.5,20,40,30,10.045,9.797,0.9753111,9.797,40.18,30,74.91384907,100.3346152,25.42076612,-0.334615193
17,10,40.051,21,20,37,29,10.006,9.639,0.963322007,9.639,37.36,29,72.40768021,93.28106664,20.87338643,6.71893336
17,50,40.019,21,20.5,30,22,10.003,9.336,0.933320004,9.336,30.36,22.18,55.42367375,75.86396462,20.44029086,24.13603538
17,90,40.033,21,20.5,37,25,10.004,9.781,0.977708916,9.781,37.36,25.18,62.89810906,93.32300852,30.42489946,6.676991482
19,10,40.04,21.5,20,36,26,10.018,9.458,0.944100619,9.458,36.54,26,64.93506494,91.25874126,26.32367632,8.741258741
19,50,40.117,21,20,38,29,10.005,9.465,0.946026987,9.465,38.36,29,72.28855597,95.62031059,23.33175462,4.379689408
19,90,40.026,21,20,35,26,10.007,9.44,0.943339662,9.44,35.36,26,64.95777744,88.34257732,23.38479988,11.65742268
21,10,40.039,21,20,36,27,10.005,9.768,0.976311844,9.768,36.36,27,67.4342516,90.81145883,23.37720722,9.188541172
21,50,40.017,21,20,39,28,10.021,9.579,0.955892626,9.579,39.36,28,69.97026264,98.35819777,28.38793513,1.641802234
21,90,40.019,21,20,36,28,10.002,9.531,0.952909418,9.531,36.36,28,69.96676579,90.856843,20.89007721,9.143157
23,10,40.039,21,20.5,38,29,10.02,9.585,0.956586826,9.585,38.36,29.18,72.87894303,95.80658858,22.92764555,4.193411424
23,50,40.045,21,20,37,28,10.032,9.772,0.974082935,9.772,37.36,28,69.92133849,93.29504308,23.37370458,6.704956923
23,90,40.024,21,20.5,37,27,10.082,9.695,0.961614759,9.695,37.36,27.18,67.90925445,93.3439936,25.43473916,6.656006396
25,10,40.007,21,20.5,37,28,10.024,9.541,0.951815643,9.541,37.36,28.18,70.43767341,93.38365786,22.94598445,6.61634214
25,50,40.0042,21,20.5,39,29,10.005,9.69,0.968515742,9.69,39.36,29.18,72.94234105,98.38966908,25.44732803,1.610330915
25,90,40.006,21.5,20,40,29,10.004,9.78,0.977608956,9.78,40.54,29,72.48912663,101.3347998,28.84567315,-1.33479978
27,10,40.004,21,20.5,37,30,10.027,9.634,0.960805824,9.634,37.36,30.18,75.44245575,93.39066093,17.94820518,6.609339066
27,50,40.029,21,20.5,38,29,10.033,9.8132,0.978092295,9.8132,38.36,29.18,72.89714957,95.83052287,22.9333733,4.169477129
27,90,40.019,21,20.5,37,27,10.015,9.844,0.982925612,9.844,37.36,27.18,67.91773907,93.35565606,25.43791699,6.644343937
29,10,40.03,21.5,20,31,23,10.024,9.206,0.91839585,9.206,31.54,23,57.45690732,78.79090682,21.3339995,21.20909318
29,50,40.075,21.5,20,35,26,10.011,9.366,0.935570872,9.366,35.54,26,64.87835309,88.68371803,23.80536494,11.31628197
29,90,40.004,21.5,20,32,23,10.004,9.557,0.955317873,9.557,32.54,23,57.49425057,81.34186581,23.84761524,18.65813419
31,10,40.005,21,20.5,37,27,10.007,9.417,0.941041271,9.417,37.36,27.18,67.94150731,93.38832646,25.44681915,6.611673541
31,50,40.052,21,20.5,28,23,10.008,9.731,0.972322142,9.731,28.36,23.18,57.87476281,70.80794967,12.93318686,29.19205033
31,90,40.008,21,20.5,33,19,10.015,9.686,0.967149276,9.686,33.36,19.18,47.94041192,83.38332334,35.44291142,16.61667666
33,10,40.058,21,20,34,26,10.078,9.761,0.968545346,9.761,34.36,26,64.90588646,85.77562534,20.86973888,14.22437466
33,50,40,21,20,35,26,10.004,9.773,0.976909236,9.773,35.36,26,65,88.4,23.4,11.6
33,90,40.045,21,21,32,22,10.018,9.291,0.927430625,9.291,32.36,22.36,55.83718317,80.80908977,24.97190661,19.19091023
35,10,40.017,21,21,30,20,10.017,9.503,0.948687232,9.503,30.36,20.36,50.87837669,75.8677562,24.98937951,24.1322438
35,50,40.004,21,20.5,36,25,10.019,9.738,0.971953289,9.738,36.36,25.18,62.94370563,90.89091091,27.94720528,9.109089091
35,90,40.058,21,20,36,25,10.012,9.785,0.977327207,9.785,36.36,25,62.40950622,90.76838584,28.35887962,9.231614159
37,10,40.029,21,20.5,32,21,10.004,9.576,0.957217113,9.576,32.36,21.18,52.91163906,80.84138999,27.92975093,19.15861001
37,50,40.017,21,20.5,34,27,10.009,9.6,0.959136777,9.6,34.36,27.18,67.92113352,85.86350801,17.94237449,14.13649199
37,90,40.009,21,21,34,22,10.008,9.44,0.943245404,9.44,34.36,22.36,55.88742533,85.88067685,29.99325152,14.11932315
39,10,40.012,21.5,20,31,22,10.009,9.479,0.947047657,9.479,31.54,22,54.98350495,78.82635209,23.84284715,21.17364791
39,50,40.006,21,20,35,26,10.012,9.478,0.946664003,9.478,35.36,26,64.99025146,88.38674199,23.39649053,11.61325801
39,90,40.006,21,20,29,21,10.014,9.44,0.942680248,9.44,29.36,21,52.49212618,73.38899165,20.89686547,26.61100835
41,10,40.034,21,20.5,38,30,10.032,9.603,0.957236842,9.603,38.36,30.18,75.38592197,95.81855423,20.43263226,4.181445771
41,50,40.073,21,20,45,35,10.016,9.376,0.936102236,9.376,45.36,35,87.3406034,113.193422,25.85281861,-13.193422
